3,6
14,6
3,15 powerpellet
26,6
14,15
3,21
26,15
34,6
34,15
46,6
57,6
57,15
46,15
46,21
57,21
46,34
39,34
39,27
34,27
34,21
39,21
21,15
39,15
21,21
26,21
26,27
21,27
30,27
8,6
20,6
30,15
21,34
46,47
39,47
21,47
14,47
14,34
14,21
3,47
3,54
6,54
3,60
6,60
3,67
27,67
33,67
57,67
57,60
54,60
33,60
39,60
21,60
27,60
21,54
14,54
14,60
27,54
33,54
46,54
33,47
27,47
21,40
39,40
57,47
57,54
54,54
3,10
8,21
8,15
26,10
14,10
40,6
52,6
57,10
46,10
52,21
52,15
14,26
14,30
14,42
14,38
1,34
6,34
10,34
51,34
60,34
56,34
46,26
46,30
46,38
46,42
27,40
33,40
46,50
51,47
57,50
46,60
39,54
8,47
3,50
10,60
3,64
57,64
27,64
33,64
38,67
43,67
48,67
53,67
8,67
14,67
21,67
