2,5
3,5
30,34
31,34
31,33
30,33
29,33
29,32
29,31
29,30
29,29
29,28
29,27
29,26
30,26
31,26
32,26
33,26
34,26
35,26
36,26
37,26
38,26
38,27
38,29
38,28
38,30
38,31
38,32
38,33
38,34
38,35
38,36
38,37
38,38
38,39
38,40
38,41
38,42
38,43
38,44
38,45
38,46
37,46
33,46
32,46
34,46
36,46
35,46
32,47
32,49
32,48
32,50
32,51
32,52
32,53
33,53
34,53
35,53
36,53
38,53
37,53
38,54
38,56
38,55
38,57
38,58
38,59
37,59
36,59
35,59
34,59
33,59
32,59
32,60
32,61
32,62
32,63
32,64
32,65
32,66
30,66
31,66
30,67
31,67
30,68
31,68
33,68
32,67
32,68
33,67
33,66
29,67
29,66
29,68
